protocol,representation,repeat,fold,train_rows,test_rows,train_compounds,test_compounds,extra_columns,mae,rmse,r2,spearman
room_baseline,Physical,5,3,329,128,78,19,0,10.514898349183799,14.48069779833603,-0.8423761371739784,0.9126052215265522
room_baseline,Morgan+Physical,5,3,329,128,78,19,0,3.9969469678282734,4.87998151710268,0.790764354225227,0.9048072888412921
room_baseline,Morgan,5,4,383,74,78,19,0,12.516003713968637,20.629905716388055,0.0882375642346862,0.6334981469037098
room_baseline,Physical,5,4,383,74,78,19,0,8.799968504364426,15.219818981817795,0.5037435282746545,0.7523926117075952
room_baseline,Morgan+Physical,5,4,383,74,78,19,0,10.585976308461781,17.282975215642136,0.3600821516849575,0.744159915864457
room_baseline,Morgan,6,0,414,43,77,20,0,11.0422242153079,20.548884462955137,0.08691594692311233,0.5194802158142786
room_baseline,Physical,6,0,414,43,77,20,0,10.216209004734838,13.777945788860961,0.5895094150297561,0.7070613952196215
room_baseline,Morgan+Physical,6,0,414,43,77,20,0,10.43162505358319,16.341192954398274,0.4225667692274564,0.7093334434047746
room_baseline,Morgan,6,1,397,60,77,20,0,13.966465471013388,23.608422842093464,0.09766006923418924,0.8408078806650149
room_baseline,Physical,6,1,397,60,77,20,0,7.724932819747924,13.256177561094793,0.7155061702836527,0.8356132200502165
room_baseline,Morgan+Physical,6,1,397,60,77,20,0,10.340416638437908,18.09045656612645,0.47017154151920093,0.8776822348962082
room_baseline,Morgan,6,2,331,126,78,19,0,15.740486170438736,19.218832892251406,-2.49578905194409,-0.5192273686056881
room_baseline,Physical,6,2,331,126,78,19,0,6.058384596827673,8.247012783243838,0.35629848364798866,0.901846129454554
room_baseline,Morgan+Physical,6,2,331,126,78,19,0,10.32898287956601,12.412702833795828,-0.45822289716764764,0.7269783746779054
room_baseline,Morgan,6,3,333,124,78,19,0,6.7340923874270535,9.077997580810711,0.422967006833706,0.8493674724113045
room_baseline,Physical,6,3,333,124,78,19,0,11.792290883882583,16.023600408792138,-0.7977973360043358,0.8044252113274851
room_baseline,Morgan+Physical,6,3,333,124,78,19,0,5.193559699876848,6.753503913217428,0.6806412409989151,0.8564731704751966
