queue_rank,inchikey,name,smiles,target_dielectric,target_T_K,local_rows,local_distinct_T,family_tag,is_champion,champion_short,model_ready,probed_in_this_round,stocking_priority,access
60,LSBXQLQATZTAPE-UHFFFAOYSA-N,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,13.9,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
61,LZJIBRSVPKKOSI-UHFFFAOYSA-O,ethanolammonium nitrate,O=[N+]([O-])[O-].[NH3+]CCO,60.9,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
62,NEQXUPRFDXNNTA-UHFFFAOYSA-N,2-hydroxyethylammonium lactate,CC(O)C(=O)O.NCCO,85.6,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
63,OOKUTCYPKPJYFV-UHFFFAOYSA-N,1-methylimidazolium bromide,Br.Cn1ccnc1,16.6,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
64,QRCRANRUHQKZME-UHFFFAOYSA-N,"3-butyl-1,2,4,5-tetramethyl-1H-imidazol-3-ium tetrafluoroborate",CCCCn1c(C)c(C)[n+](C)c1C.F[B-](F)(F)F,12,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
65,SIXHYMZEOJSYQH-UHFFFAOYSA-M,1-butyl-3-methylimidazolium thiocyanate,CCCCn1cc[n+](C)c1.N#C[S-],13.7,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
66,STCBHSHARMAIOM-UHFFFAOYSA-N,1-methylimidazolium chloride,Cl.Cn1ccnc1,13.8,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
67,UCCKRVYTJPMHRO-UHFFFAOYSA-N,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",CCCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,14,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
68,UODQEMVTULZGKO-UHFFFAOYSA-N,"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,12.5,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
69,UPCXAARSWVHVLY-UHFFFAOYSA-N,triethanolammonium acetate,CC(=O)O.OCCN(CCO)CCO,31,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
