representation,arm,repeat,inchikey,name,target,prediction
Morgan,baseline_v0.3,0,GWYFCOCPABKNJV-UHFFFAOYSA-N,Isovaleric acid,2.64,21.9804325104
Morgan,baseline_v0.3,0,ISPYQTSUDJAMAB-UHFFFAOYSA-N,o-Chlorophenol,6.31,9.19563007355
Morgan,baseline_v0.3,0,SVTBMSDMJJWYQN-UHFFFAOYSA-N,"2-Methyl-2,4-pentanediol",24.4,14.5781784058
Morgan,baseline_v0.3,0,DHKHKXVYLBGOIT-UHFFFAOYSA-N,"1,1-Diethoxyethane",3.8,7.83028554916
Morgan,baseline_v0.3,0,QJPJQTDYNZXKQF-UHFFFAOYSA-N,p-Bromoanisole,7.06,6.96083259583
Morgan,baseline_v0.3,0,WEVYAHXRMPXWCK-UHFFFAOYSA-N,Acetonitrile,37.5,27.8210926056
Morgan,baseline_v0.3,0,LCGLNKUTAGEVQW-UHFFFAOYSA-N,Methyl ether,5.02,6.53296804428
Morgan,baseline_v0.3,0,FVSKHRXBFJPNKK-UHFFFAOYSA-N,Propionitrile,27.2,22.7766284943
Morgan,baseline_v0.3,0,NKKMVIVFRUYPLQ-NSCUHMNNSA-N,Crotononitrile (bp 108 C),36.1,28.4740390778
Morgan,baseline_v0.3,0,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,2-Butanone,18.51,12.0793943405
Morgan,baseline_v0.3,0,XCIXKGXIYUWCLL-UHFFFAOYSA-N,Cyclopentanol,18,9.05260944366
Morgan,baseline_v0.3,0,PHTQWCKDNZKARW-UHFFFAOYSA-N,3-Methyl-1-butanol,14.7,22.8170757294
Morgan,baseline_v0.3,0,MSXVEPNJUHWQHW-UHFFFAOYSA-N,2-Methyl-2-butanol,5.82,9.99784660339
Morgan,baseline_v0.3,0,POLCUAVZOMRGSN-UHFFFAOYSA-N,Propyl ether,3.39,5.78060865402
Morgan,baseline_v0.3,0,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,Isopropyl ether,3.88,6.82771873474
Morgan,baseline_v0.3,0,WVDDGKGOMKODPV-UHFFFAOYSA-N,Benzyl alcohol,13.1,20.593744278
Morgan,baseline_v0.3,0,QWVGKYWNOKOFNN-UHFFFAOYSA-N,o-Cresol,11.5,10.0894393921
Morgan,baseline_v0.3,0,RLSSMJSEOOYNOY-UHFFFAOYSA-N,m-Cresol,11.8,6.49636363983
Morgan,baseline_v0.3,0,RDOXTESZEPMUJZ-UHFFFAOYSA-N,Methoxybenzene (Anisole),4.33,6.96083259583
Morgan,baseline_v0.3,0,LFSAPCRASZRSKS-UHFFFAOYSA-N,2-Methylcyclohexanone,14,17.012386322
Morgan,baseline_v0.3,0,UJBOOUHRTQVGRU-UHFFFAOYSA-N,3-Methylcyclohexanone,12.4,16.9241943359
Morgan,baseline_v0.3,0,VGVHNLRUAMRIEW-UHFFFAOYSA-N,4-Methylcyclohexanone,12.4,16.6074638367
Morgan,baseline_v0.3,0,NDVWOBYBJYUSMF-UHFFFAOYSA-N,2-Methylcyclohexanol,13.3,9.91471195221
Morgan,baseline_v0.3,0,HTSABYAWKQAHBT-UHFFFAOYSA-N,3-Methylcyclohexanol,12.3,10.179936409
Morgan,baseline_v0.3,0,MQWCXKGKQLNYQG-UHFFFAOYSA-N,4-Methylcyclohexanol,13.3,8.73251628876
Morgan,baseline_v0.3,0,QGJOPFRUJISHPQ-UHFFFAOYSA-N,Carbon disulfide,2.641,10.4429006577
Morgan,baseline_v0.3,0,LCZUOKDVTBMCMX-UHFFFAOYSA-N,"2,5-Dimethylpyrazine",2.436,8.16197109222
Morgan,baseline_v0.3,0,MVPPADPHJFYWMZ-UHFFFAOYSA-N,Chlorobenzene,5.621,8.54585170746
Morgan,baseline_v0.3,0,YWAKXRMUMFPDSH-UHFFFAOYSA-N,1-Pentene,2.1,4.14470672607
