Index,Solvent Name,CANON_SMILES,Temperature (K),Inverse temperature (1/K),EdgePool_log(Viscosity)_pred,is_within_training
172,FM (CH3F),CF,280,0.0035714285714285,-0.69129294,False
173,FM (CH3F),CF,285,0.0035087719298245,-0.6960371,False
174,FM (CH3F),CF,290,0.0034482758620689,-0.7003543,False
175,FM (CH3F),CF,295,0.0033898305084745,-0.70468265,False
176,FM (CH3F),CF,300,0.0033333333333333,-0.7121041,False
177,FM (CH3F),CF,305,0.0032786885245901,-0.721374,False
178,FM (CH3F),CF,310,0.0032258064516129,-0.7283068,False
179,FM (CH3F),CF,315,0.0031746031746031,-0.7319503,False
180,FM (CH3F),CF,320,0.003125,-0.7356353,False
181,FM (CH3F),CF,325,0.003076923076923,-0.73953295,False
182,FM (CH3F),CF,330,0.003030303030303,-0.74532485,False
183,DMB (C6H14O2),COC(C)C(C)OC,270,0.0037037037037037,-0.25680116,False
184,DMB (C6H14O2),COC(C)C(C)OC,275,0.0036363636363636,-0.20838995,False
185,DMB (C6H14O2),COC(C)C(C)OC,280,0.0035714285714285,-0.19102167,False
186,DMB (C6H14O2),COC(C)C(C)OC,285,0.0035087719298245,-0.19726233,False
187,DMB (C6H14O2),COC(C)C(C)OC,290,0.0034482758620689,-0.18251984,False
188,DMB (C6H14O2),COC(C)C(C)OC,295,0.0033898305084745,-0.18206482,False
189,DMB (C6H14O2),COC(C)C(C)OC,300,0.0033333333333333,-0.17613569,False
190,DMB (C6H14O2),COC(C)C(C)OC,305,0.0032786885245901,-0.15494396,False
191,DMB (C6H14O2),COC(C)C(C)OC,310,0.0032258064516129,-0.16989896,False
192,DMB (C6H14O2),COC(C)C(C)OC,315,0.0031746031746031,-0.2187179,False
193,DMB (C6H14O2),COC(C)C(C)OC,320,0.003125,-0.29390064,False
194,DMB (C6H14O2),COC(C)C(C)OC,325,0.003076923076923,-0.3453927,False
195,DMB (C6H14O2),COC(C)C(C)OC,330,0.003030303030303,-0.39207375,False
196,TMS ((CH2)4SO2)),O=S1(=O)CCCC1,270,0.0037037037037037,0.96916723,True
197,TMS ((CH2)4SO2)),O=S1(=O)CCCC1,275,0.0036363636363636,0.9331932,True
