representation,repeat,fold,seed,train_count,test_count,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60,model_params
Morgan+Physical,3,3,60,189,47,8.50229525026,26.23121762,0.150661213158,0.816016191014,0.961038961039,0.928571428571,3.20879874187,7.35161061605,108.963313255,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":60,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,3,4,61,189,47,8.85929033891,13.922766902,0.469016634395,0.829370069042,0.907407407407,0.943438914027,4.23132893327,14.3140429189,47.4507810593,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":61,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,3,4,61,189,47,6.36812160705,10.4698563813,0.699730472668,0.912113329076,0.918518518519,0.952488687783,4.18711263134,10.1840940035,16.4604446411,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":61,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,3,4,61,189,47,6.53419617939,10.256394492,0.711849587796,0.916218561809,0.927777777778,0.957013574661,4.07274246488,8.68217220893,31.9556114197,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":61,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,4,0,62,188,48,7.25306272562,11.8806629154,0.520379936886,0.761083595124,0.917989417989,0.867521367521,4.47242578809,10.487135636,35.1194532013,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":62,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,4,0,62,188,48,8.42989249959,15.6529312509,0.167455704482,0.882067150123,0.943562610229,0.982905982906,3.68977193403,17.1535058339,36.6702621078,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":62,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,4,0,62,188,48,6.51940342641,11.0294077732,0.58664767869,0.891355682151,0.950617283951,0.968660968661,3.61266315988,9.85925839742,35.8948581314,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":62,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,4,1,63,189,47,10.1370168789,26.7066423097,0.137273735088,0.724406393609,0.933982683983,0.84649122807,4.13668340858,12.3055884128,108.384447441,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":63,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,4,1,63,189,47,9.39382395508,25.966234167,0.184446644513,0.848511130385,0.939393939394,0.938596491228,3.57505022826,12.2640111033,101.215908871,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":63,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,4,1,63,189,47,8.82956018732,25.726291446,0.199449356481,0.847908415838,0.963203463203,0.926900584795,3.50506571558,8.80073434618,104.800176964,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":63,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
