dataset,train_size,run,n_train_pool,n_test,train_id_hash,test_id_hash,mae,rmse,r2
v0.2,40,5,190,20,ca9875502b8f7a301e5cce6e77bae4b3808d7a59f41e5272f60502b1432e2c45,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.132938195400168,24.988119001574873,-0.07999239949314063
v0.2,40,6,190,20,a043c8c2de05cd720039ffb38acb487434fd062c476c1dd82131c885fbfd6b91,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.547330517649366,26.455806062729486,-0.21058576993930211
v0.2,40,7,190,20,9b9c31f1c35dded5f5525370a150a5f48e44bf60310f09dbc173e54a67a2d2a4,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.100893449519324,24.945255554642202,-0.07629044072072211
v0.2,40,8,190,20,87d32155dba4035ef5e7948daaa2765d26a0dcf699013690a22b746f7b2398ef,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.69226632724892,24.754854058043666,-0.059922981319704194
v0.2,40,9,190,20,150c77a1fc1cee51c8e3b6fdec177aafc2b320a2a299f26ded302fe2657f8ef3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.607385185395625,24.806689282004392,-0.06436646274591218
v0.2,60,0,190,20,ba10cc830831078bde56e8486974a68f5270b8ec6512512f6b79288c2f2727a8,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.027626875457935,23.951605802857678,0.007746044410510189
v0.2,60,1,190,20,1d4ae7eac4e7104d557a6b0d447684b496801dc2203e5b98f61fdb030bdfef30,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.032911504624114,25.366510608923974,-0.11294839759300235
v0.2,60,2,190,20,109b3b07029ecf5dc2927362579ab5473daeed10118c1fbf18285ba1bb61cc36,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.791573398533586,26.704316625121074,-0.23343567473028037
v0.2,60,3,190,20,7bfd3ad9bd59146a0b7c032d9eb5eb55a4988db9ba51c530718e8209f028bbe6,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.914818395580166,24.011774158352235,0.0027545396485727514
v0.2,60,4,190,20,8d2df1704035c56fadd56f8f85d26aa7e351d9c2867b284b42a5615d0657c45f,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.57292541091291,26.262986983056866,-0.19300373929843095
v0.2,60,5,190,20,4f5341fc429bd369bdd6d87674d635cd0350034dc95feeebbb77b6f3fe09132f,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.197142495430944,25.23981576002349,-0.10185876040238595
v0.2,60,6,190,20,795b70c03a5c772a5da50796d7187c0edc74fa7bba2c6f4d8faa7812d0420eb8,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.235964484482668,24.230899809627292,-0.015529752824508858
v0.2,60,7,190,20,49d41645e53d135ba8944726335fbd8c4e3463819498509b2948be3e5548896c,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.651099822043637,24.322494888669645,-0.02322185969728885
v0.2,60,8,190,20,867f7af0430a4d27f7242af7321b468bf7b76df147261c10468218c41393a28c,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.476102840186488,27.89770957488967,-0.34614135246933264
v0.2,60,9,190,20,0f4a45406f88a193838877a60e8bb459ec4e0fbdc3e82ed456b1a3a6812814ec,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.108463827235656,26.81625229347735,-0.2437976555984278
v0.2,80,0,190,20,fb49ae2bb7466640a31ec0f70185883c57b4f953152b7e5eb6f9729333079126,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.08370009323285,24.54103979965307,-0.04169238069777448
v0.2,80,1,190,20,c65446fd5231bc19bf97dc1fc5953880892945249d104136249bdd1bb6afebae,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.815303758571257,25.876857349550384,-0.1581815212130786
v0.2,80,2,190,20,44cddd3372c5dd98e64483f08942065400a54ea6a38aca6fa02b3e28606a4b76,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.476014988022271,23.84689142527476,0.016403178143600927
v0.2,80,3,190,20,5534a0a8e00e233552d36d0ebbc1de049605549dbde8cddb57040e2d8953a6ec,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.619995375902855,23.624087090215017,0.034697039716589106
v0.2,80,4,190,20,5041efddb0608a86a453f2dbae6ed1892d9bb45a3617ea4074a7d74d8ced0cc1,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.764077046262264,25.649580141984895,-0.13792617972172616
v0.2,80,5,190,20,9cdfc14d36433f386440ae6d03b86babbc6a4b223652a8ac7a86e2f6456b7ca4,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.29371675116261,24.17685620119214,-0.011004812482479975
v0.2,80,6,190,20,1716d43ea2d136908106befe2474e8ab651cb0c21625f1674727368ed45fc9b7,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.571323959482829,24.688699569444907,-0.05426550738712943
v0.2,80,7,190,20,3b00f2847322bf623433e720ea478fd5e170d5f7b092fd621fc779a1b3f27e94,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.276045930076744,25.23910499900327,-0.1017967039090153
v0.2,80,8,190,20,e962af4e7dd65bc8e187613443c4d3aa84854656469d803f7efdc369f5b9a47c,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.59682393292336,23.42441729434639,0.05094548320500203
v0.2,80,9,190,20,0f2ecebd29b881ec8b9186bd26596eb65824a01ae12acdaf55bf3b490f928f10,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.475599976481714,24.151259584272637,-0.008865195678375626
v0.2,120,0,190,20,5da04aa6859e267369f0aa77cd2729df436bd4a7a345a011aef8596a12542a59,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.757392833333334,26.788123996314283,-0.24118971763245867
v0.2,120,1,190,20,d7f006e093cf18aac74f730a0adcb407ff296fe27a9e43207ffb74e48811d8bb,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.510678110629371,22.76018924533358,0.10400557868990734
v0.2,120,2,190,20,dcbe558c136be73c8d0e6ed7c1cf5a97b3213586084faccaa163c3ffd06c93ac,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.974585553635492,22.95893569841162,0.08828925863850856
v0.2,120,3,190,20,8f08fc8bce7d060432c7dfb0b3751bfdad2b238ebcfd9529c32debeae0c7d47b,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.511607618596578,25.127044960298424,-0.09203460754416759
v0.2,120,4,190,20,fcd7a2573e22c69af9736fecb265cb8c626eb61112b6ce2648a66597fa4a83cf,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.042386997310071,24.515335007904586,-0.03951134331644712
v0.2,120,5,190,20,0c71022bb8e67745d20e05b8e0e1c2d606a99714be4ae589feb11fc1e42dcc10,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.78429388602733,25.534502187931743,-0.12773837477609273
v0.2,120,6,190,20,7204668d1682fee4818c51ff7d935ac3eed384274636d710c9732e155d95b061,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.74902525,26.769707388290392,-0.23948368946847953
v0.2,120,7,190,20,873896f0f48fcd753b88a047dc5ae046861b27873c561ee19b0afa94db833407,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.746111675756435,25.12830381300154,-0.09214403108807767
v0.2,120,8,190,20,08361e42c620d66d236bf63defd4ee08359a076b5743390d2004675582d1d4c7,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.41210991666667,26.073178207881725,-0.1758218169350736
v0.2,120,9,190,20,2f2ea9da775cdb61c57a1638ec4e0140be5003bef965643c55add94f587a5256,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.41886275,26.08625313773404,-0.17700139254363223
v0.2,160,0,190,20,b96b8c5d4e30389a38ff5e3d47c7d2aa896837be4a9336972ff6ffadfc52e0dc,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.618271812017365,23.302498066871923,0.0607990367880018
v0.2,160,1,190,20,07a84116772452f015bf0cce32765742064fd21eb8352e3d13e88ad98011636f,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.53270200848407,23.14918121561444,0.07311716948711289
v0.2,160,2,190,20,e1231b776c107c5af361bbe557559362147ce72905ffc83864d14d5385fe636e,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.840593215453826,23.13065863440113,0.07459984775884065
v0.2,160,3,190,20,68b7e4f8a09658dabcfa16db886f9cfd3439db00c8490dde259f90dcc1fb62a5,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.84295096791405,23.268413711319806,0.06354454910145202
v0.2,160,4,190,20,743b7075a344cc6d1ab441019146d96076d5b97e0298e7baba2d6c3f78f648e5,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.713653770423946,23.222736924909043,0.06721753621387117
v0.2,160,5,190,20,33e1a596af0536ccd9b09e60a72071834812478bfa998fc67b4690a31880d26e,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.7726862186338,23.977887122395206,0.005567313630238657
v0.2,160,6,190,20,931d4b6b73218bc92ce5a45e11a564e1e85536540fe4f2f408f52bb20882b2cb,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.524416964764004,23.19058473741309,0.06979864758752397
v0.2,160,7,190,20,b932967a83e93b5653b314284ba67a0221b2b72d1d8ef76cd0499aeae785096c,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.01993000846501,23.352479049593533,0.05676577566906027
v0.2,160,8,190,20,712ce2f19f7d2ddeffc721f71885cc25bf7a57058b4006c1a284e5c907f056d3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.496329032105987,23.021213546912698,0.08333638160981027
v0.2,160,9,190,20,bf4c14db039163bf2f94c4c6a6e2a6ff1e0a7cbd7fa794cb10c4536d75cafd68,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.24899272776802,22.907919518700975,0.09233651268911314
v0.2,180,0,190,20,97a0a28702c7a0036d685d8448ac161d1d734b23d6c1c02646e10eb6771fc242,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.72701248237053,23.379943166415945,0.05454585478126506
v0.2,180,1,190,20,08619c748d3d17733d0b725e86f10aedfe14b9b027cc7a8de9575a7f0011e89b,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.72421453376548,23.40488580807294,0.052527483483491566
v0.2,180,2,190,20,6536e4d820c15878651600baead9ed6fea5d6ea0e7e2b7f0dc139991366db69f,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.849887690811077,23.355424260628872,0.05652783955765428
v0.2,180,3,190,20,cfe1a0add9dfe880e7589bf3d1c7b06835fada945c0dd46acf5c4c74ea92dc71,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.695437630916468,23.279713214163852,0.0626348136611442
v0.2,180,4,190,20,ae949a5cd94ee0e56e7d16d13c24ac8db9a26dabc2cd7b2df272c281b63450d3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.598823672994303,23.28429829789971,0.06226553753822084
v0.2,180,5,190,20,6f2b3d32af1ec00d572f50f5e6314b4d529447c01e4320cf721325f8543ad04a,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.726883746079295,23.3920519679464,0.053566273167980905
