representation,arm,repeat,split,calibration_count,test_count,infinite_interval_count,infinite_interval_rate,quantile_abs_error_median,normalized_quantile_median,interval_width,coverage,coverage_lt20,coverage_20_60,coverage_gt60,normalized_interval_width,normalized_coverage,normalized_coverage_lt20,normalized_coverage_20_60,normalized_coverage_gt60,fold0_calibration_count,fold0_test_count,fold0_quantile,fold0_coverage,fold0_normalized_quantile,fold0_normalized_coverage,fold1_calibration_count,fold1_test_count,fold1_quantile,fold1_coverage,fold1_normalized_quantile,fold1_normalized_coverage,fold2_calibration_count,fold2_test_count,fold2_quantile,fold2_coverage,fold2_normalized_quantile,fold2_normalized_coverage,fold3_calibration_count,fold3_test_count,fold3_quantile,fold3_coverage,fold3_normalized_quantile,fold3_normalized_coverage,fold4_calibration_count,fold4_test_count,fold4_quantile,fold4_coverage,fold4_normalized_quantile,fold4_normalized_coverage
Morgan,baseline_v0.3,0,32,117,117,0,0,13.7409577942,0.755518663448,28.2540423297,0.811965811966,0.931818181818,0.541666666667,0,34.9874857251,0.82905982906,0.920454545455,0.666666666667,0,26,21,13.7409577942,0.904761904762,0.855140634345,0.904761904762,22,25,8.107182312,0.56,0.612558884829,0.6,27,20,13.9314105988,0.9,0.755518663448,0.85,21,26,25.732106781,0.961538461538,2.90171590315,0.961538461538,21,25,8.5583526611,0.76,0.663392428586,0.84
Morgan,baseline_v0.3,0,33,117,117,0,0,16.8265720367,1.16535771162,37.8594876373,0.931623931624,0.989473684211,0.833333333333,0,37.1519200538,0.931623931624,0.978947368421,0.888888888889,0,23,24,15.1223162079,0.958333333333,1.24792869664,1,25,22,29.2300537109,0.954545454545,3.27019074591,0.954545454545,25,22,13.9314105988,0.909090909091,0.75997113812,0.909090909091,24,23,20.2087543488,0.913043478261,1.16535771162,0.913043478261,20,26,16.8265720367,0.923076923077,0.701792233308,0.884615384615
Morgan,baseline_v0.3,0,34,117,117,0,0,20.2087543488,1.16535771162,53.7993073149,0.880341880342,0.967032967033,0.625,0,46.5271869828,0.91452991453,0.967032967033,0.791666666667,0,20,27,12.8504940033,0.814814814815,0.781731804868,0.851851851852,21,26,62.8265372467,1,3.68625426394,1,27,20,27.1593532562,1,1.18258918937,1,25,22,20.2087543488,0.909090909091,1.16535771162,0.909090909091,24,22,8.1375686646,0.681818181818,0.663392428586,0.818181818182
Morgan,baseline_v0.3,0,35,117,117,0,0,19.4104175568,0.920379415243,36.3120162442,0.905982905983,0.978260869565,0.695652173913,0,35.0010546457,0.91452991453,0.978260869565,0.739130434783,0,25,22,15.3037826538,1,1.24792869664,1,20,27,19.4104175568,0.888888888889,0.920379415243,0.851851851852,24,23,20.2692386627,0.95652173913,0.850960811541,0.95652173913,23,24,25.732106781,0.958333333333,2.90171590315,0.958333333333,25,21,8.5583526611,0.714285714286,0.663392428586,0.809523809524
Morgan,baseline_v0.3,0,36,117,117,0,0,27.1593532562,1.18258918937,62.1163866027,0.965811965812,0.989010989011,0.92,0,57.77504021,0.948717948718,0.978021978022,0.88,0,27,20,15.1223162079,0.95,0.855140634345,0.9,22,25,62.8265372467,1,3.68625426394,1,21,26,27.1593532562,1,1.18258918937,1,22,25,30.6588032532,1,3.02916779706,1,25,21,13.7183616638,0.857142857143,0.663392428586,0.809523809524
Morgan,baseline_v0.3,0,37,117,117,0,0,21.0010305405,1.18258918937,61.667376634,0.974358974359,1,0.863636363636,,43.3052039622,0.982905982906,1,0.909090909091,,23,24,13.7409577942,0.916666666667,1.24792869664,1,24,23,62.8265372467,1,3.68625426394,1,17,30,33.5391887665,1,1.18258918937,0.966666666667,30,17,20.2087543488,0.941176470588,1.16535771162,0.941176470588,23,23,21.0010305405,1,1.03092354136,1
Morgan,baseline_v0.3,0,38,117,117,0,0,19.6547820282,1.12323373199,39.9900087243,0.91452991453,1,0.769230769231,0,30.8157857174,0.923076923077,1,0.769230769231,0.25,27,20,15.1223162079,0.95,1.12323373199,0.95,26,21,16.3789548874,0.761904761905,0.875275313488,0.761904761905,22,25,27.1593532562,1,1.18258918937,1,26,21,20.2087543488,0.904761904762,1.16535771162,0.904761904762,16,30,19.6547820282,0.933333333333,1.03092354136,0.966666666667
Morgan,baseline_v0.3,0,39,117,117,0,0,19.6547820282,0.850960811541,54.2907359262,0.940170940171,0.988888888889,0.84,0,47.1298982987,0.931623931624,0.966666666667,0.84,0.5,29,18,13.7409577942,0.944444444444,0.799778333594,0.888888888889,19,28,62.8265372467,1,3.68625426394,1,24,23,20.2692386627,0.95652173913,0.850960811541,0.95652173913,23,24,9.6508546066,0.833333333333,0.720973170177,0.791666666667,22,24,19.6547820282,0.958333333333,1.03092354136,1
Morgan,baseline_v0.3,0,40,117,117,0,0,16.8265720367,0.799778333594,39.3058103545,0.923076923077,0.989247311828,0.761904761905,0,46.2159838183,0.91452991453,0.967741935484,0.809523809524,0,27,20,13.7409577942,0.9,0.799778333594,0.85,25,22,27.569463253,0.909090909091,3.27019074591,0.954545454545,24,23,13.9314105988,0.913043478261,0.75997113812,0.913043478261,22,25,25.732106781,0.96,2.90171590315,0.96,19,27,16.8265720367,0.925925925926,0.701792233308,0.888888888889
Morgan,baseline_v0.3,0,41,117,117,0,0,21.0010305405,0.75997113812,52.3713326001,0.897435897436,0.955555555556,0.76,0,54.818215282,0.91452991453,0.966666666667,0.8,0,20,27,9.3677471313,0.703703703704,0.711613468537,0.814814814815,25,22,62.8265372467,1,3.68625426394,1,27,20,13.9314105988,0.9,0.75997113812,0.9,17,30,25.732106781,0.933333333333,2.90171590315,0.933333333333,28,18,21.0010305405,1,0.742166403329,0.944444444444
Morgan,baseline_v0.3,0,42,117,117,0,0,13.9314105988,0.75997113812,25.7968740129,0.863247863248,0.977528089888,0.56,0,26.507718871,0.888888888889,0.966292134831,0.72,0,28,19,15.3037826538,1,1.24792869664,1,19,28,16.9284820557,0.857142857143,1.12023147191,0.892857142857,24,23,13.9314105988,0.913043478261,0.75997113812,0.913043478261,22,25,8.9033649826,0.8,0.720973170177,0.8,24,22,9.1518724289,0.772727272727,0.701792233308,0.863636363636
Morgan,baseline_v0.3,0,43,117,117,0,0,13.7183616638,0.75997113812,31.137064563,0.888888888889,0.966292134831,0.72,0,38.5554105453,0.888888888889,0.966292134831,0.72,0,23,24,15.1223162079,0.958333333333,0.799778333594,0.875,26,21,29.2300537109,0.952380952381,3.27019074591,0.952380952381,23,24,12.7768798828,0.875,0.75997113812,0.916666666667,22,25,8.9033649826,0.8,0.720973170177,0.8,23,23,13.7183616638,0.869565217391,0.715388391447,0.913043478261
Morgan,baseline_v0.3,0,44,117,117,0,0,13.9314105988,0.799778333594,37.6092111976,0.91452991453,0.988505747126,0.75,0,29.1950012617,0.863247863248,0.931034482759,0.714285714286,0,24,23,13.7409577942,0.913043478261,0.799778333594,0.869565217391,19,28,29.2300537109,0.964285714286,1.64029976503,0.928571428571,26,21,13.9314105988,0.904761904762,0.583930612933,0.761904761905,23,24,20.2087543488,0.916666666667,1.16535771162,0.916666666667,25,21,13.7183616638,0.857142857143,0.663392428586,0.809523809524
Morgan,baseline_v0.3,0,45,117,117,0,0,14.0910305405,0.875275313488,31.4790148541,0.871794871795,0.966292134831,0.666666666667,0,26.1758164731,0.880341880342,0.966292134831,0.708333333333,0,28,19,13.4300689697,0.842105263158,1.12323373199,0.947368421053,22,25,14.0910305405,0.76,0.875275313488,0.8,27,20,27.1593532562,1,1.18258918937,1,19,28,9.6508546066,0.857142857143,0.715946047472,0.785714285714,21,25,16.8265720367,0.92,0.715388391447,0.92
Morgan,baseline_v0.3,0,46,117,117,0,0,16.3789548874,1.03092354136,36.2124594957,0.871794871795,0.95652173913,0.636363636364,0,38.1933846114,0.905982905983,0.967391304348,0.727272727273,0.333333333333,26,21,13.0367311096,0.809523809524,0.781731804868,0.809523809524,22,25,16.3789548874,0.8,1.12023147191,0.88,23,24,9.38768116,0.791666666667,0.658993202918,0.833333333333,21,26,30.6588032532,1,3.02916779706,1,25,21,19.6547820282,0.952380952381,1.03092354136,1
Morgan,baseline_v0.3,0,47,117,117,0,0,16.8265720367,0.920379415243,32.7978581381,0.905982905983,1,0.75,0,28.1178344257,0.897435897436,0.976470588235,0.785714285714,0,21,26,13.7409577942,0.923076923077,1.12323373199,0.961538461538,24,23,16.9284820557,0.826086956522,0.920379415243,0.826086956522,28,19,27.1593532562,1,1.18258918937,1,23,24,9.8067790985,0.875,0.748221895311,0.833333333333,21,25,16.8265720367,0.92,0.701792233308,0.88
