scenario,qid,size,singleton,n_ring,n_acyclic,unique_inchikeys,pair_capacity,smiles_examples
inchikey_singleton_negative_control,NEQXUPRFDXNNTA-UHFFFAOYSA-N,1,True,0,0,1,0,CC(O)C(=O)O.NCCO
inchikey_singleton_negative_control,NEZRFXZYPAIZAD-UHFFFAOYSA-N,1,True,0,0,1,0,CCC1CCC1
inchikey_singleton_negative_control,NKKMVIVFRUYPLQ-NSCUHMNNSA-N,1,True,0,0,1,0,C/C=C/C#N
inchikey_singleton_negative_control,NPDACUSDTOMAMK-UHFFFAOYSA-N,1,True,0,0,1,0,Cc1ccc(Cl)cc1
inchikey_singleton_negative_control,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCC(=O)O
inchikey_singleton_negative_control,NTIZESTWPVYFNL-UHFFFAOYSA-N,1,True,0,0,1,0,CC(=O)CC(C)C
inchikey_singleton_negative_control,NVJBFARDFTXOTO-UHFFFAOYSA-N,1,True,0,0,1,0,CCOS(=O)OCC
inchikey_singleton_negative_control,OEPRBXUJOQLYID-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCCF
inchikey_singleton_negative_control,OFBQJSOFQDEBGM-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCC
inchikey_singleton_negative_control,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,1,True,0,0,1,0,CN=C(C)O
inchikey_singleton_negative_control,OIFBSDVPJOWBCH-UHFFFAOYSA-N,1,True,0,0,1,0,CCOC(=O)OCC
