arm,split_id,repeat,fold,fold_seed,train_count,n_test,n_assoc,n_ionic,n_gt60,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60,mae_assoc,mae_ionic,mae_none,mae_both,bias_assoc,bias_ionic,bias_gt60,spearman_gt60,delta_sign_accuracy
O1_structured_offset,37,7,2,79,187,47,14,6,1,8.74887485016,14.9946610998,-0.212752232477,0.467713550314,0.739583333333,0.666666666667,6.0910566702,14.9796205612,59.9,13.6742183249,25.7611504472,4.46754138307,59.9,6.8971253884,11.6388495528,59.9,,0.723404255319
R0_direct_regression,37,7,2,79,187,47,14,6,1,4.56592261952,7.13232402084,0.725614660287,0.848337671265,0.929166666667,0.959349593496,3.06009001089,9.95390498161,18.6837028503,5.91700070299,6.17521416346,4.0497418266,18.6837028503,3.33039333779,2.483320268,18.6837028503,,0.765957446809
R1_direct_with_logg,37,7,2,79,187,47,14,6,1,5.10100347878,8.38475078324,0.620790602683,0.828495431942,0.932291666667,0.955284552846,3.18385245868,13.0708411741,14.1940406799,8.00864221736,6.49208391905,3.67384677233,14.1940406799,1.4705034899,3.83562315702,14.1940406799,,0.765957446809
D0_delta_core,37,7,2,79,187,47,14,6,1,7.01642299757,11.7753504773,0.252094963172,0.726455421676,0.890625,0.959349593496,4.59011372323,17.9918187502,11.4130094012,7.53944515978,10.5939172156,6.1453269556,11.4130094012,1.34439600875,9.13625221301,11.4130094012,,0.63829787234
D1_delta_core_morgan,37,7,2,79,187,47,14,6,1,6.0604549446,8.74561849627,0.587446922932,0.706458842869,0.873958333333,0.955284552846,4.42325587916,12.4152037245,17.4360291919,6.94360649117,13.1991842443,4.49542197305,17.4360291919,3.77289712939,9.87949215295,17.4360291919,,0.617021276596
D2_delta_log,37,7,2,79,187,47,14,6,1,11.8195385851,22.7049682291,-1.78061314008,0.542179821664,0.770833333333,0.715447154472,5.98949235337,29.7000555019,90.3171600581,16.3987550133,23.0451256849,9.92793390231,90.3171600581,-2.17221149967,-11.6463624509,-90.3171600581,,0.617021276596
D3_delta_leaky,37,7,2,79,187,47,14,6,1,5.71368862123,9.76182738687,0.486002482254,0.735819602271,0.891666666667,0.90243902439,4.01987786363,13.2380639114,9.88349508847,8.28821177789,9.90692328075,3.67679841826,9.88349508847,3.19902684517,2.85398378859,9.88349508847,,0.787234042553
O0_onsager,38,7,3,80,187,47,10,4,0,6.5072522956,13.6765504669,-0.906149401046,0.792518285434,0.909502262443,0.848837209302,5.96306630256,9.61688654155,,9.37465969124,26.8339456881,3.17549061859,3.20820280365,7.87319112784,-25.2298442863,,,0.553191489362
O1_structured_offset,38,7,3,80,187,47,10,4,0,5.54856121114,10.418185399,-0.106083606756,0.80684900793,0.929864253394,0.912790697674,5.31321032014,6.89342344543,,8.08820401393,22.4121369492,3.02435639155,12.5763283255,0.696918635674,-6.60791489315,,,0.553191489362
R0_direct_regression,38,7,3,80,187,47,10,4,0,4.82688410192,7.31867410315,0.454155913622,0.793732474097,0.938914027149,0.901162790698,4.01263170839,9.47975492205,,7.40139250183,10.8373303413,3.25302440672,1.10252342224,-6.35797627258,-1.68577814102,,,0.914893617021
R1_direct_with_logg,38,7,3,80,187,47,10,4,0,5.81972958802,12.9959917756,-0.721165561903,0.817974165905,0.925339366516,0.936046511628,5.12635488097,9.78187077114,,8.30766795349,26.5147533417,2.75254545736,9.19494781494,-5.92214196014,-20.3055992126,,,0.808510638298
D0_delta_core,38,7,3,80,187,47,10,4,0,5.73296940172,10.5848936852,-0.141765176049,0.657008478519,0.848416289593,0.779069767442,5.25908864073,8.44085946452,,7.92425334789,28.4050761412,2.76431540697,17.4,-2.17550725579,3.64492385878,,,0.574468085106
D1_delta_core_morgan,38,7,3,80,187,47,10,4,0,4.82972493884,7.83410863906,0.37456386135,0.657008478519,0.841628959276,0.796511627907,3.79362245378,10.7503105677,,7.41166249536,16.1623350908,3.10679725908,17.4,-0.0293971979551,16.1623350908,,,0.553191489362
D2_delta_log,38,7,3,80,187,47,10,4,0,5.28845365553,12.1571540233,-0.506147933069,0.836286895785,0.943438914027,0.953488372093,4.24692227687,11.2400615336,,9.89017592908,18.8643407045,2.36373607137,6.16882672593,-3.46574998859,-8.9578316127,,,0.765957446809
D3_delta_leaky,38,7,3,80,187,47,10,4,0,4.28419865555,6.54069637458,0.564034853543,0.81425804434,0.970588235294,0.953488372093,3.77291828612,7.20580076659,,8.66665718874,10.050492957,2.37281892569,6.18705037781,-8.59836143488,-3.99802489505,,,0.872340425532
