scenario,arm,split_id,repeat,fold,train_rows,test_rows,train_qids,test_qids,train_pair_capacity,test_pair_capacity,n_comparable_pairs,global_spearman,macro_query_spearman,micro_pairwise_accuracy,macro_pairwise_accuracy,auc_gt15,auc_gt30,calibrated_mae,calibrated_rmse,calibrated_r2
scaffold_butina_qid,rank_pairwise,44,8,4,175,59,89,22,641,158,156,0.581956075377,0.575995153869,0.746794871795,0.757575757576,0.789297658863,0.922619047619,7.42679212069,10.1215475478,-0.219598077647
scaffold_butina_qid,regression_head,44,8,4,175,59,89,22,641,158,156,0.720354836189,0.665828444286,0.894230769231,0.795238095238,0.886287625418,0.964285714286,5.16955422388,6.99400185119,0.417663009458
scaffold_butina_qid,rank_pairwise,45,9,0,198,36,88,23,772,27,26,0.874943699132,0.654605609507,0.730769230769,0.821428571429,0.9375,0.8203125,9.59202481763,27.2623790626,0.12564326357
scaffold_butina_qid,regression_head,45,9,0,198,36,88,23,772,27,26,0.801493312512,0.605526731409,0.75,0.738095238095,0.864583333333,0.7578125,9.78525007464,29.2518680247,-0.00662651799924
scaffold_butina_qid,rank_pairwise,46,9,1,200,34,89,22,777,22,22,0.671861870706,0.766666666667,0.772727272727,0.855555555556,0.873684210526,0.795454545455,11.7169966278,18.2717501915,0.188468787157
scaffold_butina_qid,regression_head,46,9,1,200,34,89,22,777,22,22,0.862097947355,0.866666666667,0.863636363636,0.9,0.915789473684,1,7.13792757957,15.2510480341,0.434614966434
scaffold_butina_qid,rank_pairwise,47,9,2,160,74,89,22,230,569,567,0.647794085263,0.503612552031,0.615520282187,0.727327467791,0.846153846154,0.910798122066,8.68249896508,10.8836862205,-0.304936251022
scaffold_butina_qid,regression_head,47,9,2,160,74,89,22,230,569,567,0.74716933645,0.301074973743,0.636684303351,0.64114030725,0.924968474149,0.960093896714,7.38250850576,9.66339872679,-0.0287197319998
scaffold_butina_qid,rank_pairwise,48,9,3,187,47,89,22,671,128,128,0.715793125679,0.614285714286,0.7265625,0.793650793651,0.840540540541,0.909523809524,7.99422018556,15.4906022777,0.257561441621
scaffold_butina_qid,regression_head,48,9,3,187,47,89,22,671,128,128,0.760877736014,0.800864880635,0.8359375,0.87619047619,0.859459459459,1,5.93652123846,11.5480607762,0.587387829933
scaffold_butina_qid,rank_pairwise,49,9,4,191,43,89,22,746,53,53,0.808321063739,0.666666666667,0.792452830189,0.804232804233,0.863636363636,0.864864864865,8.36917946206,10.1888050361,0.383994510043
scaffold_butina_qid,regression_head,49,9,4,191,43,89,22,746,53,53,0.789926753757,0.697021128217,0.783018867925,0.833333333333,0.839826839827,0.918918918919,6.45411351008,8.49815763336,0.571463672129
inchikey_singleton_negative_control,rank_pairwise,0,0,0,187,47,187,47,0,0,0,nan,nan,nan,nan,0.5,0.5,8.6788376664,10.4401519671,-0.121527837716
inchikey_singleton_negative_control,regression_head,0,0,0,187,47,187,47,0,0,0,0.929000925069,nan,nan,nan,0.941176470588,0.939393939394,3.91126616096,5.79989174703,0.653872430706
inchikey_singleton_negative_control,rank_pairwise,1,0,1,187,47,187,47,0,0,0,nan,nan,nan,nan,0.5,0.5,15.8022536068,30.3021576842,-0.0513098450137
inchikey_singleton_negative_control,regression_head,1,0,1,187,47,187,47,0,0,0,0.878346344342,nan,nan,nan,0.927203065134,0.927027027027,9.73900203412,26.2659741721,0.210102663298
inchikey_singleton_negative_control,rank_pairwise,2,0,2,187,47,187,47,0,0,0,nan,nan,nan,nan,0.5,0.5,10.968265838,15.0862224126,-0.002729773641
inchikey_singleton_negative_control,regression_head,2,0,2,187,47,187,47,0,0,0,0.875950392086,nan,nan,nan,0.906926406926,0.975609756098,4.74287130806,7.81795248297,0.730716991206
inchikey_singleton_negative_control,rank_pairwise,3,0,3,187,47,187,47,0,0,0,nan,nan,nan,nan,0.5,0.5,9.12048766071,11.1001769422,-0.00802369772904
inchikey_singleton_negative_control,regression_head,3,0,3,187,47,187,47,0,0,0,0.721806250482,nan,nan,nan,0.907843137255,0.982142857143,5.16713751391,8.025276998,0.473096599622
inchikey_singleton_negative_control,rank_pairwise,4,0,4,188,46,188,46,0,0,0,nan,nan,nan,nan,0.5,0.5,10.9768947502,17.182789067,-0.00772393595807
inchikey_singleton_negative_control,regression_head,4,0,4,188,46,188,46,0,0,0,0.76720017306,nan,nan,nan,0.925407925408,0.940476190476,6.36627487265,13.7555563517,0.354181357483
inchikey_singleton_negative_control,rank_pairwise,5,1,0,187,47,187,47,0,0,0,nan,nan,nan,nan,0.5,0.5,12.1931882979,26.3673290655,-0.0176020000613
inchikey_singleton_negative_control,regression_head,5,1,0,187,47,187,47,0,0,0,0.912491688971,nan,nan,nan,0.990601503759,0.910714285714,6.94428731094,24.4159983734,0.12744131002
inchikey_singleton_negative_control,rank_pairwise,6,1,1,187,47,187,47,0,0,0,nan,nan,nan,nan,0.5,0.5,10.6548393276,13.3994838509,-0.00710227195011
inchikey_singleton_negative_control,regression_head,6,1,1,187,47,187,47,0,0,0,0.883261058109,nan,nan,nan,0.927601809955,0.978571428571,5.1781852632,7.84862153408,0.654471232
inchikey_singleton_negative_control,rank_pairwise,7,1,2,187,47,187,47,0,0,0,nan,nan,nan,nan,0.5,0.5,10.160313625,11.5843909702,-0.227718402469
