row_id,source,inchikey,smiles,name,IP,EA,HOMO,LUMO,dipole,oxidation_free_energy,reduction_free_energy,source_doi,method,status
rx392:67ad0b3efe8f5d2ec4f72bc8187f179b-C3F1O3P1-0-1,RX-392,SRMAHOZUVUJKQP-UHFFFAOYSA-N,[C+]#COC(=O)O[P-]F,67ad0b3efe8f5d2ec4f72bc8187f179b-C3F1O3P1-0-1,6.700289445685485,4.91262564617864,,,,6.39347755651761,-5.5240987760189455,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:ac6fcf62cb6e30142dd0bdbff7f2fd11-C3F1O3P1-0-1,RX-392,MNDGFGSAYSDRLM-UHFFFAOYSA-N,O=C(OC#CF)[O+]=[P-],ac6fcf62cb6e30142dd0bdbff7f2fd11-C3F1O3P1-0-1,5.768968797736306,4.177633450068242,,,,5.544464970836998,-4.39529839320312,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:d17ad8c007a93456b5bf7857216292ea-C3F2H5O3P1-0-1,RX-392,ZUHVKSZKBRTVRW-UHFFFAOYSA-N,[CH-]=[O+]CCOP(=O)(F)F,d17ad8c007a93456b5bf7857216292ea-C3F2H5O3P1-0-1,6.4943696510345035,1.9446317262372759,,,,5.830784864519956,-1.6891138836726896,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:92e536266b92af9c064e48eaa7ac26b0-C3F3H4O3P1-0-1,RX-392,VBGGRGUHBVEDDG-UHFFFAOYSA-N,[CH2-][O+]=C=COP(O)(F)(F)F,92e536266b92af9c064e48eaa7ac26b0-C3F3H4O3P1-0-1,6.596758709798451,2.81984017490322,,,,5.958092079825292,-3.376858229497884,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:43f8252d83847dfaaf3ab6c2c77ca6d0-C3F3H4O3P1-0-1,RX-392,BRVRIVCFGXLEDH-UHFFFAOYSA-N,O=P(F)(F)O[C-]=[O+]CCF,43f8252d83847dfaaf3ab6c2c77ca6d0-C3F3H4O3P1-0-1,7.891273156656098,1.5394516746382578,,,,6.884037518422701,-2.3375923642452108,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:88556cbbe62e7dbea3e0083231abde30-C3F3H4O3P1-0-1,RX-392,DYCHWIATUZKJLX-NSCUHMNNSA-N,[CH-]=[O+]/C=C/OP(O)(F)(F)F,88556cbbe62e7dbea3e0083231abde30-C3F3H4O3P1-0-1,6.5162315558918635,2.057043652894208,,,,6.613419599059853,-2.5867965059442213,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:d38b7fab6a8f640c8e3659db568bd2b1-C3F1H1O3-0-1,RX-392,ZQCQTPBVJCWETB-UHFFFAOYSA-N,O=c1occ(F)o1,d38b7fab6a8f640c8e3659db568bd2b1-C3F1H1O3-0-1,7.458784279135216,-0.5420783120807755,,,,6.9941143818432465,-1.7830433672261279,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:8d243794e8cd04e8c7b6efba19f119f0-C3F1H1O3-0-1,RX-392,DTFNRASXVKNOOG-UHFFFAOYSA-N,[O+]#COC=C([O-])F,8d243794e8cd04e8c7b6efba19f119f0-C3F1H1O3-0-1,6.8359593534514715,1.8225018042703596,,,,6.118092120526853,-4.182696845949977,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:09aa54d153627b2ccca466948039c9a7-C3F2H3O2P1-0-1,RX-392,ARMKYQZTTKRQDX-UHFFFAOYSA-N,C=C[O+]=[C-]OP(F)F,09aa54d153627b2ccca466948039c9a7-C3F2H3O2P1-0-1,7.481761688861297,1.4972703054700105,,,,6.976114156852418,-2.4150096184130234,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:8a8d5e092c1554b7a50056f85c9fba1a-C2F2H1O1P1-0-1,RX-392,OHQUZHIADUDYAC-UHFFFAOYSA-N,C#COP(F)F,8a8d5e092c1554b7a50056f85c9fba1a-C2F2H1O1P1-0-1,7.905346766419825,0.7334429328257102,,,,7.375709508571163,-2.0396342856001866,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
