inchikey,in_target_key_set,in_publishable_pure_subset,n_epsilon_observations,n_viscosity_observations,has_epsilon_and_viscosity,in_walden_pair_set,n_walden_pairs,key_carries_admissible_dn,admissible_dn_value,admissible_dn_source_id,admissible_dn_source_doi,key_carries_predicted_dn,predicted_dn_value,predicted_dn_source_id,dn_channel_status
FVSKHRXBFJPNKK-UHFFFAOYSA-N,true,true,0,5,false,false,0,false,,,,false,,,no_dn
FWMUJAIKEJWSSY-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FWZUNOYOVVKUNF-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
FXHGMKSSBGDXIY-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
FXHOOIRPVKKKFG-UHFFFAOYSA-N,true,true,12,3,true,true,1,false,,,,false,,,no_dn
FYGHSUNMUKGBRK-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FYIRUPZTYPILDH-UHFFFAOYSA-N,true,true,144,0,false,false,0,false,,,,false,,,no_dn
FYOFOKCECDGJBF-UHFFFAOYSA-N,true,false,0,1,false,false,0,false,,,,false,,,no_dn
FYOPSYJKEHWOBR-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FZERHIULMFGESH-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
FZXRXKLUIMKDEL-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
GDCYEUOAZVKNHT-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
GDOPTJXRTPNYNR-UHFFFAOYSA-N,true,true,0,16,false,false,0,false,,,,false,,,no_dn
GDTBXPJZTBHREO-UHFFFAOYSA-N,true,true,0,10,false,false,0,false,,,,false,,,no_dn
GETQZCLCWQTVFV-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
GETTZEONDQJALK-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
GGBJHURWWWLEQH-UHFFFAOYSA-N,true,true,0,15,false,false,0,false,,,,false,,,no_dn
GGSUCNLOZRCGPQ-UHFFFAOYSA-N,true,true,0,9,false,false,0,false,,,,false,,,no_dn
GHVNFZFCNZKVNT-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
GILIYJDBJZWGBG-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
GJQIMXVRFNLMTB-UHFFFAOYSA-N,true,true,0,4,false,false,0,false,,,,false,,,no_dn
GJRQTCIYDGXPES-UHFFFAOYSA-N,true,true,0,8,false,false,0,false,,,,true,15.619887,solvfunc87_predicted_dn,predicted_dn_only
