inchikey,name,smiles,T_K,dipole_D,molar_volume_m3_mol,polarizability_au,polarizability_A3,alpha_density,high_frequency_epsilon,reaction_field_term,onsager_epsilon,epsilon_observed,delta_raw,delta_log,hbond_donor_sites,hba,tpsa_A2,formal_charge,n_fragments,n_charged_fragments,max_abs_formal_charge,ionic_flag,zwitterion_flag,assoc_flag,n_ring,n_aromatic_ring,onsager_version
QTBSBXVTEAMEQO-UHFFFAOYSA-N,acetic acid,CC(=O)O,293.15,2.031,3.4128676e-05,34.589921,5.1256986,0.030148330847,1.09325652099,2.51099288651,12.6069173441,6.15,-6.45691734412,-0.812604528475,1,1,37.3,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
RJQQOKKINHMXIM-UHFFFAOYSA-N,triethanolamine lactate,CC(O)C(=O)O.OCCN(CCO)CCO,298.15,6.202,0.00014143841,154.8128,22.940895,0.032559118571,1.10096467659,5.55515676516,27.2818406975,59.7,32.4181593025,0.80356149391,5,6,121.46,0,2,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
RYHBNJHYFVUHQT-UHFFFAOYSA-N,"1,4-dioxane",C1COCCO1,298.2,0,5.1549525e-05,56.583632,8.384831,0.0326512109994,1.10125989107,0,1.10125989107,2.228,1.12674010893,2.49545171794,0,2,18.46,0,1,0,0,0,0,0,1,0,onsager_lorentz_lorenz_reaction_field_v1
SBZXBUIDTXKZTM-UHFFFAOYSA-N,"2,5,8-trioxanonane",COCCOCCOC,298.15,3.389,8.3876377e-05,90.331287,13.385719,0.0320355134048,1.09928725852,2.79707193357,14.0264717054,7.3815,-6.64497170545,-0.713580392637,0,3,27.69,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
SHQSVMDWKBRBGB-UHFFFAOYSA-N,cyclobutanone,O=C1CCC1,298.15,3.227,4.3566575e-05,47.92023,7.101047,0.0327188940737,1.10147689397,4.88252721349,24.058855292,14.96,-9.09885529196,-0.501853775856,0,1,17.07,0,1,0,0,0,0,0,1,0,onsager_lorentz_lorenz_reaction_field_v1
SIXHYMZEOJSYQH-UHFFFAOYSA-M,1-butyl-3-methylimidazolium thiocyanate,CCCCn1cc[n+](C)c1.N#C[S-],298.15,5.564,0.000114782,143.45084,21.257226,0.0371759820469,1.11583419614,5.50935320248,27.3242655698,13.7,-13.6242655698,-0.728889165583,0,2,32.6,0,2,2,1,1,0,0,1,1,onsager_lorentz_lorenz_reaction_field_v1
STCBHSHARMAIOM-UHFFFAOYSA-N,1-methylimidazolium chloride,Cl.Cn1ccnc1,298.15,4.532,6.474524e-05,78.82591,11.680797,0.0362154827768,1.11272898287,6.47995691334,31.9681461493,13.8,-18.1681461493,-0.883513961705,0,1,17.82,0,2,0,0,0,0,0,1,1,onsager_lorentz_lorenz_reaction_field_v1
TVMXDCGIABBOFY-UHFFFAOYSA-N,octane,CCCCCCCC,298.15,0.07,8.7489661e-05,98.492959,14.595154,0.0334874127972,1.10394302125,0.001144035516,1.1076211483,1.961,0.8533788517,2.18935723501,0,0,0,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
UAEPNZWRGJTJPN-UHFFFAOYSA-N,methylcyclohexane,CC1CCCCC1,298.2,0.056,7.0516859e-05,81.684149,12.104345,0.0344570411631,1.10706009768,0.000908260505629,1.10998539605,2.01,0.90001460395,2.21735801604,0,0,0,0,1,0,0,0,0,0,1,0,onsager_lorentz_lorenz_reaction_field_v1
UCCKRVYTJPMHRO-UHFFFAOYSA-N,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",CCCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,4.59,0.00019111866,222.80397,33.016148,0.0346779134682,1.10777101431,2.25176176311,11.4813553141,14,2.51864468594,0.215351363069,0,4,91.19,0,2,2,1,1,0,0,1,1,onsager_lorentz_lorenz_reaction_field_v1
UEEJHVSXFDXPFK-UHFFFAOYSA-N,"2-(N,N-dimethylamino)ethanol",CN(C)CCO,303.15,1.143,6.0009428e-05,66.052929,9.7880363,0.03274203978,1.10155110982,0.437371394714,2.86613042866,17.18,14.3138695713,2.15990891419,1,2,23.47,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
UODQEMVTULZGKO-UHFFFAOYSA-N,"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,7.072,0.00020590904,234.02761,34.679321,0.0338084156841,1.10497426049,4.96145722024,24.4937811978,12.5,-11.9937811978,-0.71438872088,0,4,82.38,0,2,2,1,1,0,0,1,0,onsager_lorentz_lorenz_reaction_field_v1
UPCXAARSWVHVLY-UHFFFAOYSA-N,triethanolammonium acetate,CC(=O)O.OCCN(CCO)CCO,298.15,3.772,0.00012866665,139.05221,20.605416,0.0321473398042,1.09964535242,2.25879873205,11.4536548979,31,19.5463451021,1.0542457134,4,5,101.23,0,2,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
UWHCKJMYHZGTIT-UHFFFAOYSA-N,tetraethylene glycol,OCCOCCOCCOCCO,298.15,4.363,0.00011453148,122.95577,18.220169,0.0319342834503,1.09896316822,3.39504639899,16.8875268244,19.91,3.02247317556,0.174156557757,2,5,68.15,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
