model,seed,repeat,fold,n_train,n_test,train_id_hash,test_id_hash,mae,rmse,r2
DummyMean,42,6,1,80,20,bd4de84197bbf5c848c948e2f053e641faaf66d1aa0d2b506b55e440b32ebec2,34fb4e04666a736eedbcf7769985d8e967777e9170f8bffe4472bfe3668a8653,18.823381624999996,38.214048646396115,-0.12004888458611629
SizeOnlyRidge,42,6,1,80,20,bd4de84197bbf5c848c948e2f053e641faaf66d1aa0d2b506b55e440b32ebec2,34fb4e04666a736eedbcf7769985d8e967777e9170f8bffe4472bfe3668a8653,18.161587944514068,37.3849046232693,-0.07197196533370298
MorganRBFGPR,42,6,1,80,20,bd4de84197bbf5c848c948e2f053e641faaf66d1aa0d2b506b55e440b32ebec2,34fb4e04666a736eedbcf7769985d8e967777e9170f8bffe4472bfe3668a8653,16.068624204519644,36.8484790004868,-0.04142981262574863
DummyMean,42,6,2,80,20,bc1ff5d884074972cd18a8ffd475fd9b17f325208318478f91a4cfd41fd53261,192f5471116b600b073ec58b89c9ca85fb73ff98adb7b06777328ae043bf873c,9.228505937499998,10.56002480987307,-0.23601952444843688
SizeOnlyRidge,42,6,2,80,20,bc1ff5d884074972cd18a8ffd475fd9b17f325208318478f91a4cfd41fd53261,192f5471116b600b073ec58b89c9ca85fb73ff98adb7b06777328ae043bf873c,8.161077198015025,10.029622575258648,-0.1149737291796511
MorganRBFGPR,42,6,2,80,20,bc1ff5d884074972cd18a8ffd475fd9b17f325208318478f91a4cfd41fd53261,192f5471116b600b073ec58b89c9ca85fb73ff98adb7b06777328ae043bf873c,5.86932355820001,7.561985787448817,0.3661782072240731
DummyMean,42,6,3,80,20,d7f442d9e87ec2dde4edcf4597fb86bbf1ce359d36cdcc363735b463f3603b86,ec300d56cee10bd9daa17f0ed0d0e084fc3ce537aea0461433f1ea6eb3e8d0a5,16.3086834375,20.708161571438833,-0.017457010405277806
SizeOnlyRidge,42,6,3,80,20,d7f442d9e87ec2dde4edcf4597fb86bbf1ce359d36cdcc363735b463f3603b86,ec300d56cee10bd9daa17f0ed0d0e084fc3ce537aea0461433f1ea6eb3e8d0a5,15.979812780131798,20.508402163446995,0.0020779260337308036
MorganRBFGPR,42,6,3,80,20,d7f442d9e87ec2dde4edcf4597fb86bbf1ce359d36cdcc363735b463f3603b86,ec300d56cee10bd9daa17f0ed0d0e084fc3ce537aea0461433f1ea6eb3e8d0a5,9.085074841251144,16.729742846366715,0.3359335952717314
DummyMean,42,6,4,80,20,c2459cc9b2b1763c009c0985b6ec6ce78f33feebce97693f0cf716860d8864f9,15f895e750701b040ea91c7416342a356be2c8e5d63506d553ec0341a1729172,14.338997499999996,19.13697246162582,-0.017925384515800724
